indicator.label,sex.label,classif1.label,time,obs_value
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2021,372.054
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2021,1485.536
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Total,2021,5813.853
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2021,3597.66
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2021,123.458
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2021,877.122
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2021,47.341
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Construction ~ISIC rev.4 F,2021,1334.242
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2021,1904.001
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2021,1113.114
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2021,301.332
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2021,100.311
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2021,528.204
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2021,325.025
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Education ~ISIC rev.4 P,2021,625.95
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2021,133.587
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2021,490.655
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Total,2021,5565.162
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2021,3919.288
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2021,73.982
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2021,703.193
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2021,41.305
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Construction ~ISIC rev.4 F,2021,378.103
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2021,2737.949
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2021,285.644
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2021,526.863
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2021,130.434
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2021,235.874
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2021,218.889
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Education ~ISIC rev.4 P,2021,768.437
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2021,238.467
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2021,994.881
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Total,2020,21925.734
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2020,7375.359
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2020,184.888
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2020,1525.105
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2020,81.009
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Construction ~ISIC rev.4 F,2020,1560.931
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2020,4426.53
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2020,1354.049
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2020,784.716
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2020,226.124
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2020,727.367
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2020,544.051
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Education ~ISIC rev.4 P,2020,1359.818
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2020,359.34
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2020,1416.448
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Total,2020,5622.958
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2020,3548.703
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2020,114.225
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2020,840.696
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2020,43.789
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Construction ~ISIC rev.4 F,2020,1209.181
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2020,1831.614
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2020,1079.311
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2020,290.855
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2020,99.752
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2020,505.232
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2020,326.135
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Education ~ISIC rev.4 P,2020,611.351
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2020,129.715
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2020,472.932
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Total,2020,5341.713
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2020,3826.656
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2020,70.662
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2020,684.409
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2020,37.22
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Construction ~ISIC rev.4 F,2020,351.75
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2020,2594.916
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2020,274.738
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2020,493.861
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2020,126.372
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2020,222.135
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2020,217.917
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Education ~ISIC rev.4 P,2020,748.466
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2020,229.625
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2020,943.517
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Total,2019,21634.052
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2019,7266.356
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2019,186.783
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2019,1482.788
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2019,81.993
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Construction ~ISIC rev.4 F,2019,1493.732
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2019,4358.644
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2019,1382.765
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2019,797.877
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2019,220.051
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2019,719.698
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2019,528.718
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Education ~ISIC rev.4 P,2019,1323.685
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2019,350.755
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2019,1440.206
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Total,2019,5559.977
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2019,3453.037
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2019,115.056
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2019,822.747
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2019,44.736
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Construction ~ISIC rev.4 F,2019,1146.858
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2019,1827.817
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2019,1102.437
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2019,299.628
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2019,96.284
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2019,501.815
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2019,325.198
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Education ~ISIC rev.4 P,2019,611.33
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2019,131.234
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2019,489.267
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Total,2019,5259.14
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2019,3813.319
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2019,71.726
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2019,660.041
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2019,37.257
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Construction ~ISIC rev.4 F,2019,346.874
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2019,2530.827
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2019,280.328
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2019,498.249
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2019,123.767
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2019,217.883
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2019,203.52
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Education ~ISIC rev.4 P,2019,712.355
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2019,219.521
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Female,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2019,950.939
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Total,2018,21237.226
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2018,7284.981
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2018,177.524
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2018,1493.727
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2018,78.106
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Construction ~ISIC rev.4 F,2018,1368.418
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2018,4294.546
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2018,1336.437
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2018,760.11
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2018,208.536
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2018,683.308
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2018,516.518
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Education ~ISIC rev.4 P,2018,1261.47
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,2018,345.449
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Total,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,2018,1428.097
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Total,2018,5512.326
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,2018,3435.144
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,2018,110.814
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,2018,835.409
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,2018,45.466
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Construction ~ISIC rev.4 F,2018,1095.604
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,2018,1815.356
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,2018,1066.934
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,2018,295.5
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,2018,95.422
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,2018,476.971
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,2018,322.22
"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",Sex: Male,Economic activity (Detailed): Education ~ISIC rev.4 P,2018,593.652
