indicator.label,sex.label,classif1.label,classif2.label,time,obs_value
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2019,84.21
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2019,11.36
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2019,21.77
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2019,9.11
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2019,8
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2019,9.44
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2019,19.78
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2019,37.1
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2019,40.89
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2019,37
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2019,35.19
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2019,17.74
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2019,49.13
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2019,36.33
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2019,37.8
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2019,37.16
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2019,35.13
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2019,17.74
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2019,45.11
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2019,64.89
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2019,68.38
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2019,68.03
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2019,56.99
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2019,31.24
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2019,47.56
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2019,24.64
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2019,37.62
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2019,18.54
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2019,20.77
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2019,15.18
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2019,49.68
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2016,22.5
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2016,21.28
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2016,19.42
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2016,25.01
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2016,30.3
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2016,26.73
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2016,22.23
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2016,12.94
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2016,19.56
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2016,25.05
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2016,30.69
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2016,25.31
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2016,53.26
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2016,26.97
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2016,49.2
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2016,57.07
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2016,67.36
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2016,54.79
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2016,6.08
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2016,20.44
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2016,3.7
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2016,4.25
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2016,12.09
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2016,22.42
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2016,28.54
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2016,33.92
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2016,22.41
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2016,33.53
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2016,31.7
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2016,36.98
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2016,28
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2016,30.33
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2016,22.38
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2016,33.51
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2016,31.68
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2016,35.87
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2016,56.56
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2016,47.88
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2016,51.74
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2016,60.87
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2016,60.76
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2016,67.41
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2016,14.54
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2016,32.51
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2016,9.25
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2016,11.23
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2016,10.8
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2016,31.72
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2006,29.78
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2006,30.77
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2006,35.02
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2006,16.43
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2006,16.87
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2006,19.37
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2006,29.25
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2006,28.18
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2006,35.29
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2006,15.95
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2006,16.31
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2006,56.24
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2006,45.68
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2006,62.27
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2006,39.81
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2006,53.38
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2006,36.1
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2006,12.47
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2006,23.78
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2006,8.17
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2006,9.08
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2006,14.21
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2006,10.79
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2006,43.38
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2006,44.69
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2006,47.13
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2006,29.07
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2006,33.43
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2006,28.25
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2006,42.65
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2006,42.54
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2006,47.08
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2006,28.78
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2006,33.68
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2006,29.1
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2006,64.91
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2006,63.84
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2006,68.84
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2006,45.69
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2006,59.31
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2006,55.19
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2006,30.17
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2006,39.71
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2006,24.7
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2006,21.31
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2006,27.17
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2006,16.09
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2005,29.78
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2005,30.77
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2005,35.02
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2005,16.43
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2005,16.87
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2005,19.37
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2005,29.25
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2005,28.18
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2005,35.29
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2005,15.95
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2005,16.31
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2005,56.24
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2005,45.68
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2005,62.27
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2005,39.81
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2005,53.38
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2005,36.1
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2005,12.47
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2005,23.78
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2005,8.17
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2005,9.08
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2005,14.21
"Inactivity rate by sex, age and education (%)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2005,10.79
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2005,43.38
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2005,44.69
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2005,47.13
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2005,29.07
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2005,33.43
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2005,28.25
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2005,42.65
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2005,42.54
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2005,47.08
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2005,28.78
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2005,33.68
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2005,29.1
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2005,64.91
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2005,63.84
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2005,68.84
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2005,45.69
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2005,59.31
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2005,55.19
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2005,30.17
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2005,39.71
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2005,24.7
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2005,21.31
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2005,27.17
"Inactivity rate by sex, age and education (%)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2005,16.09
