indicator.label,sex.label,classif1.label,classif2.label,time,obs_value
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,114.879
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,376.125
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,406.5
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): P. Education,2019,1008.819
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,259.404
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,34.876
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): S. Other service activities,2019,456.599
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,486.072
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): U. Activities of extraterritorial organizations and bodies,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): X. Not elsewhere classified,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): Total,2019,9805.109
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,3096.289
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,102.193
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,733.721
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,13.21
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,26.713
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): F. Construction,2019,1008.06
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,1652.603
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,913.254
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,271.824
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): J. Information and communication,2019,55.291
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,86.932
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,34.674
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,88.326
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,321.197
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,288.669
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): P. Education,2019,548.666
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,118.533
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,30.182
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): S. Other service activities,2019,203.838
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,209.002
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): U. Activities of extraterritorial organizations and bodies,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): Total,2019,9104.751
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,2688.468
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,94.761
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,679.209
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,26.116
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): F. Construction,2019,972.817
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,1563.332
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,892.644
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,260.435
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): J. Information and communication,2019,54.983
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,86.932
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,29.783
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,85.031
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,309.154
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,280.2
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): P. Education,2019,534.972
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,111.229
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,28.773
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): S. Other service activities,2019,192.634
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,198.5
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): Total,2019,1613.832
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,597.013
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,15.825
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,108.756
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,6.674
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): F. Construction,2019,137.664
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,313.567
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,123.395
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,53.076
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): J. Information and communication,2019,8.365
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,8.048
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,2.895
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,6.717
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,32.261
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,32.381
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): P. Education,2019,55.222
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,18.17
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,7.677
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): S. Other service activities,2019,33.868
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,50.17
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): Total,2019,8191.277
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,2499.276
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,86.368
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,624.965
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,11.122
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,20.039
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): F. Construction,2019,870.396
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,1339.036
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,789.858
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,218.748
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): J. Information and communication,2019,46.926
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,78.884
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,31.779
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,81.609
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,288.936
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,256.288
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): P. Education,2019,493.444
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,100.363
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,22.505
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): S. Other service activities,2019,169.97
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,158.833
"Employment by sex, age and economic activity (thousands)",Sex: Male,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): U. Activities of extraterritorial organizations and bodies,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): Total,2019,8919.432
