indicator.label,sex.label,classif1.label,time,obs_value
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2005,51.664
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2005,15.054
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2004,53.207
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2004,5.589
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2004,51.24
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2004,15.259
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2003,53.182
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2003,5.697
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2003,50.816
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2003,15.514
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2002,53.158
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2002,5.865
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2002,50.391
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2002,15.815
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2001,53.133
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2001,6.068
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2001,49.966
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2001,16.146
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2000,53.106
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2000,6.293
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2000,49.543
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2000,16.491
